Title,Language
13 Assassins,ja
2 Fast 2 Furious,en
30 Days of Night,en
A Band Called Death,en
Ali,en
Arrival,en
Atomic Blonde,en
Baby Driver,en
Bad Times at the El Royale,en
Battle Royale,ja
Battle Royale II: Requiem,ja
Big Trouble in Little China,en
Birdemic: Shock and Terror,en
Blade of the Immortal,ja
Blade Runner,en
Blade Runner 2049,en
City of God,pt
Cowboy Bebop: The Movie,ja
Dark City,en
Daybreakers,en
F for Fake,fr
Fast & Furious,en
Fast Five,en
Flash Gordon,en
Frank,en
Furious 7,en
Furious 7,en
Ghost in the Shell,ja
Good Time,en
Hard Boiled,cn
House of Flying Daggers,zh
Howl's Moving Castle,ja
I Saw the Devil,ko
Infernal Affairs,cn
Ip Man,cn
It Follows,en
John Wick,en
John Wick,en
Kill Bill: Vol. 1,en
Kill Bill: Vol. 2,en
Kingsman: The Secret Service,en
Kubo and the Two Strings,en
Le Samouraï,fr
Logan Lucky,en
Mad Max: Fury Road,en
Mandy,en
Mayhem,en
Moon,en
Moonrise Kingdom,en
"Night Is Short, Walk on Girl",ja
No Country for Old Men,en
Oldboy,ko
Pacific Rim,en
Pan's Labyrinth,es
Paprika,ja
Paul Blart: Mall Cop 2,en
Perfect Blue,ja
Redline,ja
Scott Pilgrim vs. the World,en
Sorry to Bother You,en
Summer Wars,ja
Suspiria,it
Sympathy for Lady Vengeance,ko
Sympathy for Mr. Vengeance,ko
The Blues Brothers,en
The Buddy Holly Story,en
The Cabin in the Woods,en
The Fast and the Furious,en
The Fast and the Furious: Tokyo Drift,en
The Fate of the Furious,en
The Girl with the Dragon Tattoo,sv
"The Good, The Bad, The Weird",ko
The Handmaiden,ko
The Hateful Eight,en
The Host,ko
The Man from Nowhere,ko
The Neon Demon,en
The Prestige,en
The Raid,id
The Room,en
The Town,en
The Villainess,ko
The Wailing,ko
The World of Kanako,ja
Troll,en
Troll 2,en
Twelve Monkeys,en
Under the Skin,en
Vampire Hunter D,ja
Walk Hard: The Dewey Cox Story,en
What We Do in the Shadows,en
Zatoichi,ja
